Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,394698.0,337980.0,65378.0,368839.0,IXR.AX
totalStockholderEquity,17685765.0,3502260.0,661174.0,-9298.0,IXR.AX
totalAssets,18080463.0,3840240.0,726552.0,359541.0,IXR.AX
commonStock,47358254.0,30017154.0,26422398.0,24984798.0,IXR.AX
otherCurrentAssets,15530.0,6541.0,6677.0,,IXR.AX
retainedEarnings,-32933449.0,-30555820.0,-29069566.0,-28091252.0,IXR.AX
treasuryStock,3260960.0,4040926.0,3308342.0,3097156.0,IXR.AX
cash,11055530.0,829933.0,691153.0,322994.0,IXR.AX
totalCurrentLiabilities,394698.0,337980.0,65378.0,368839.0,IXR.AX
otherStockholderEquity,3260960.0,4040926.0,3308342.0,3097156.0,IXR.AX
propertyPlantEquipment,3409530.0,525697.0,,19036.0,IXR.AX
totalCurrentAssets,11134664.0,853235.0,726552.0,340505.0,IXR.AX
longTermInvestments,3536269.0,2461308.0,,,IXR.AX
netTangibleAssets,17685765.0,3502260.0,661174.0,-9298.0,IXR.AX
netReceivables,63604.0,16761.0,28722.0,12639.0,IXR.AX
accountsPayable,394698.0,127980.0,65378.0,268839.0,IXR.AX
otherCurrentLiab,,210000.0,,,IXR.AX
