Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,2018-03-31 00:00:00,ticker
changeToLiabilities,25000000.0,45100000.0,3500000.0,20700000.0,JHX.AX
totalCashflowsFromInvestingActivities,-120400000.0,-203800000.0,-864400000.0,-245500000.0,JHX.AX
netBorrowings,-530800000.0,-20400000.0,542400000.0,273100000.0,JHX.AX
totalCashFromFinancingActivities,-540200000.0,-179000000.0,364200000.0,60600000.0,JHX.AX
changeToOperatingActivities,-60900000.0,-85300000.0,-90200000.0,-52100000.0,JHX.AX
issuanceOfStock,100000.0,100000.0,100000.0,200000.0,JHX.AX
netIncome,262800000.0,241500000.0,228800000.0,146100000.0,JHX.AX
changeInCash,132600000.0,62200000.0,-189600000.0,120400000.0,JHX.AX
effectOfExchangeRate,6300000.0,-6200000.0,6600000.0,-3200000.0,JHX.AX
totalCashFromOperatingActivities,786900000.0,451200000.0,304000000.0,308500000.0,JHX.AX
depreciation,135000000.0,131500000.0,119400000.0,92000000.0,JHX.AX
otherCashflowsFromInvestingActivities,-1800000.0,-8500000.0,17200000.0,-38400000.0,JHX.AX
changeToInventory,98700000.0,3200000.0,-28600000.0,-51700000.0,JHX.AX
changeToAccountReceivables,46400000.0,-118600000.0,-18100000.0,-2000000.0,JHX.AX
otherCashflowsFromFinancingActivities,-9500000.0,-9500000.0,-6100000.0,-35200000.0,JHX.AX
changeToNetincome,294600000.0,244800000.0,80400000.0,128600000.0,JHX.AX
capitalExpenditures,-120200000.0,-203300000.0,-322900000.0,-215000000.0,JHX.AX
dividendsPaid,,-158600000.0,-172100000.0,-177500000.0,JHX.AX
