Breakdown,Value,ticker
zip,2,JHX.AX
sector,Basic Materials,JHX.AX
compensationRisk,9,JHX.AX
auditRisk,3,JHX.AX
longBusinessSummary,"James Hardie Industries plc, together with its subsidiaries, manufactures and sells fiber cement, fiber gypsum, and cement bonded building products for interior and exterior building construction applications primarily in the United States, Australia, Europe, New Zealand, the Philippines, and Canada. The company operates through three segments: North America Fiber Cement, Asia Pacific Fiber Cement, and Europe Building Products. It offers fiber cement interior linings, exterior siding products, and related accessories; and fiber cement building materials for a range of applications, including external siding, internal walls, floors, ceilings, soffits, trim, decking, and facades. The company also provides planks and flat panels; fiber gypsum and cement-bonded boards for interior applications, such as dry lining walls, walls in timber frame buildings, and flooring solutions; and cement-bonded boards for use in exterior and industrial applications, and fire protection. Its products are used in various markets comprising new residential construction and commercial construction markets. The company was founded in 1888 and is headquartered in Dublin, Ireland.",JHX.AX
city,Dublin,JHX.AX
phone,353 1 411 6924,JHX.AX
shareHolderRightsRisk,7,JHX.AX
compensationAsOfEpochDate,1640908800,JHX.AX
governanceEpochDate,1632614400,JHX.AX
boardRisk,4,JHX.AX
country,Ireland,JHX.AX
website,https://www.ir.jameshardie.com.au,JHX.AX
maxAge,86400,JHX.AX
overallRisk,5,JHX.AX
address1,Europa House,JHX.AX
fax,353 1 479 1128,JHX.AX
industry,Building Materials,JHX.AX
address2,2nd Floor Harcourt Center Harcourt Street,JHX.AX
