Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
totalLiab,5711615.0,127188.0,KAU.AX
totalStockholderEquity,20788572.0,5363207.0,KAU.AX
otherCurrentLiab,2456978.0,,KAU.AX
totalAssets,26500187.0,5490395.0,KAU.AX
commonStock,31499826.0,6130066.0,KAU.AX
retainedEarnings,-11189014.0,-318999.0,KAU.AX
otherLiab,1894781.0,,KAU.AX
treasuryStock,477760.0,-447860.0,KAU.AX
otherAssets,857000.0,,KAU.AX
cash,4787279.0,4027770.0,KAU.AX
totalCurrentLiabilities,3816834.0,109397.0,KAU.AX
otherStockholderEquity,477760.0,-447860.0,KAU.AX
propertyPlantEquipment,17475262.0,1422326.0,KAU.AX
totalCurrentAssets,8167925.0,4068069.0,KAU.AX
netTangibleAssets,20788572.0,5363207.0,KAU.AX
netReceivables,632649.0,32865.0,KAU.AX
inventory,2218627.0,,KAU.AX
accountsPayable,617801.0,58299.0,KAU.AX
otherCurrentAssets,,7434.0,KAU.AX
