Breakdown,Value,ticker
zip,2000,KCN.AX
sector,Basic Materials,KCN.AX
longBusinessSummary,"Kingsgate Consolidated Limited engages in the exploration, development, and mining of gold and silver mineral properties. It holds a 100% interest in the Nueva Esperanza gold/silver project located in the Atacama region of northern Chile; and Chatree gold mine located in central Thailand. The company was incorporated in 1970 and is based in Sydney, Australia.",KCN.AX
city,Sydney,KCN.AX
phone,61 2 8256 4800,KCN.AX
state,NSW,KCN.AX
compensationAsOfEpochDate,1640908800,KCN.AX
country,Australia,KCN.AX
website,https://www.kingsgate.com.au,KCN.AX
maxAge,86400,KCN.AX
address1,20 Bond Street,KCN.AX
industry,Gold,KCN.AX
address2,Suite 2 Level 23,KCN.AX
