Breakdown,Value,ticker
zip,6005,KEY.AX
sector,Energy,KEY.AX
longBusinessSummary,"Key Petroleum Limited acquires and explores for petroleum permits in Australia. It holds interests in exploration programs in the Cooper Eromanga and North Perth Basins in Australia. The company was incorporated in 2006 and is based in West Perth, Australia.",KEY.AX
city,West Perth,KEY.AX
phone,61 8 6160 6022,KEY.AX
state,WA,KEY.AX
country,Australia,KEY.AX
website,https://www.keypetroleum.com.au,KEY.AX
maxAge,86400,KEY.AX
address1,100 Havelock Street,KEY.AX
fax,61 8 6160 5901,KEY.AX
industry,Oil & Gas E&P,KEY.AX
address2,Level 1,KEY.AX
