Breakdown,Value,ticker
zip,3205,KGN.AX
sector,Consumer Cyclical,KGN.AX
compensationRisk,9,KGN.AX
auditRisk,7,KGN.AX
longBusinessSummary,"Kogan.com Ltd operates as an online retailer in Australia. The company offers various brands across a range of categories, including consumer electronics, appliances, homewares, hardware, toys, and others; and owns and operates 20 private label brands. It also provides pre-paid mobile phone plans online; and directly sourced holiday packages and travel bookings. In addition, the company offers general insurances, including home, contents, landlord, car, and travel insurances, as well as pet and life insurance; NBN internet plans; and home loans. Further, it provides superannuation funds, credit cards, telecommunications services, and power and gas services, as well as trade-in cars. The company provides its products under the company's brands, such as Kogan, Ovela, Fortis, Vostok, and Komodo, as well as products sourced from imported and domestic third party brands comprising Apple, Canon, Swann, and Samsung. The company was founded in 2006 and is based in Melbourne, Australia.",KGN.AX
city,Melbourne,KGN.AX
phone,61 3 6285 8572,KGN.AX
state,VIC,KGN.AX
shareHolderRightsRisk,7,KGN.AX
compensationAsOfEpochDate,1640908800,KGN.AX
governanceEpochDate,1632614400,KGN.AX
boardRisk,5,KGN.AX
country,Australia,KGN.AX
website,https://www.kogancorporate.com,KGN.AX
maxAge,86400,KGN.AX
overallRisk,7,KGN.AX
address1,139 Gladstone Street,KGN.AX
industry,Internet Retail,KGN.AX
address2,South Melbourne,KGN.AX
