Breakdown,Value,ticker
zip,2000,KLR.AX
sector,Basic Materials,KLR.AX
longBusinessSummary,"Kaili Resources Limited, together with its subsidiaries, engages in the exploration of mineral resources in Australia. It explores for coal, iron ore, cobalt, and gold deposits. The company also holds a 100% interest in the Yilgarn Craton Gold Projects consisting of 8 Mile Dam tenement covering an area of 70.4 square kilometers; Jungle Hill tenement covering an area of 150.4 square kilometers; Canegrass tenement covering an area of 108.8 square kilometers; Holey Dam tenement covering an area of 67.2 square kilometers; and Gindalbie Dam covering an area of 25.6 square kilometers located in the Yilgarn Craton of Western Australia. It also holds a 100% interest in the Halls Creek Cobalt/Nickel/Gold Projects comprising Black and Glidden tenement covering an area of 102.4 square kilometers; Carrington tenement covering an area of 51.2 square kilometers; Sandy Creek tenement covering an area of 64 square kilometers; and Wild Dog tenement covering an area of 70.4 square kilometers located in the Lamboo Province of Western Australia. The company was formerly known as Omnitech Holdings Limited and changed its name to Kaili Resources Limited in August 2014. Kaili Resources Limited is based in Sydney, Australia.",KLR.AX
city,Sydney,KLR.AX
phone,61 2 9246 6288,KLR.AX
state,NSW,KLR.AX
compensationAsOfEpochDate,1609372800,KLR.AX
country,Australia,KLR.AX
website,https://www.kailigroup.com.au,KLR.AX
maxAge,86400,KLR.AX
address1,87-89 Liverpool Street,KLR.AX
industry,Other Industrial Metals & Mining,KLR.AX
address2,Suite 1312,KLR.AX
