Breakdown,Value,ticker
zip,6005,KMT.AX
sector,Basic Materials,KMT.AX
longBusinessSummary,"Kopore Metals Limited engages in the exploration business in Africa. The company primarily explores for of silver, copper, and other base metal deposits. It holds a 100% interest in 8 prospecting licenses covering an area of approximately 3,376 square kilometers located on the Kalahari Copper Belt in Botswana. The company was incorporated in 2011 and is headquartered in West Perth, Australia.",KMT.AX
city,West Perth,KMT.AX
phone,61 8 9322 1587,KMT.AX
state,WA,KMT.AX
compensationAsOfEpochDate,1609372800,KMT.AX
country,Australia,KMT.AX
website,https://www.koporemetals.com.au,KMT.AX
maxAge,86400,KMT.AX
address1,62 Ord Street,KMT.AX
fax,61 8 9322 5230,KMT.AX
industry,Other Industrial Metals & Mining,KMT.AX
address2,Suite 5,KMT.AX
