Breakdown,Value,ticker
zip,3029,KSC.AX
sector,Industrials,KSC.AX
fullTimeEmployees,1972,KSC.AX
longBusinessSummary,"K&S Corporation Limited provides transportation and logistics, contract management, warehousing and distribution, and fuel distribution services primarily in Australia and New Zealand. The company operates through three segments: Australian Transport, Fuels, and New Zealand Transport. It provides road, rail, and coastal sea forwarding for full and break bulk loads, including export packing, wharf lodgement, and the delivery of integrated supply chain and system solutions; remote, regional, and metro bulk fuel, oil, and gas transportation and distribution services; and dry and liquid bulk transportation services to mining, sugar, cement, and fertilizer industries. The company also offers line haul and logistical support, and warehousing and distribution services, as well as equipment and personnel; facility management services to various companies; distribution chain management services for various importers; and heavy haulage services. In addition, it provides dangerous and hazardous goods, chemicals, petro-chemicals, gases, bulk liquids, liquid foods, fuels, lubricants, and explosives by road, rail, and sea; and aviation refueling services and aviation fuel supply solutions. The company was formerly known as Scott Corporation Limited and changed its name to K&S Corporation Limited in December 1998. K&S Corporation Limited was founded in 1945 and is headquartered in Truganina, Australia. K&S Corporation Limited is a subsidiary of AA Scott Pty Ltd.",KSC.AX
city,Truganina,KSC.AX
phone,61 3 8744 3500,KSC.AX
state,VIC,KSC.AX
compensationAsOfEpochDate,1640908800,KSC.AX
country,Australia,KSC.AX
website,https://www.ksgroup.com.au,KSC.AX
maxAge,86400,KSC.AX
address1,591 Boundary Road,KSC.AX
fax,61 8 8721 1799,KSC.AX
industry,Integrated Freight & Logistics,KSC.AX
