Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
researchDevelopment,,,,,KSL.AX
effectOfAccountingCharges,,,,,KSL.AX
incomeBeforeTax,109906000,82693000,69203000,33639000,KSL.AX
minorityInterest,,,,,KSL.AX
netIncome,75974000,60871000,48093000,23011000,KSL.AX
sellingGeneralAdministrative,166603000,106658000,76329000,62369000,KSL.AX
grossProfit,292776000,199920000,156580000,108194000,KSL.AX
ebit,0,0,0,0,KSL.AX
operatingIncome,109906000,82884000,69548000,40639000,KSL.AX
otherOperatingExpenses,15556000,10966000,8723000,4776000,KSL.AX
interestExpense,,,,,KSL.AX
extraordinaryItems,,,,,KSL.AX
nonRecurring,,,,,KSL.AX
otherItems,,,,,KSL.AX
incomeTaxExpense,33932000,21822000,21110000,10628000,KSL.AX
totalRevenue,292776000,199920000,156580000,108194000,KSL.AX
totalOperatingExpenses,182870000,117036000,87032000,67555000,KSL.AX
costOfRevenue,0,0,0,0,KSL.AX
totalOtherIncomeExpenseNet,0,-191000,-345000,-7000000,KSL.AX
discontinuedOperations,,,,,KSL.AX
netIncomeFromContinuingOps,75974000,60871000,48093000,23011000,KSL.AX
netIncomeApplicableToCommonShares,75974000,60871000,48093000,23011000,KSL.AX
