Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,1611940.0,2434338.0,566951.0,634464.0,KSN.AX
totalStockholderEquity,40727110.0,27444461.0,18836609.0,15039902.0,KSN.AX
otherCurrentLiab,540054.0,1879830.0,-42103.0,255244.0,KSN.AX
totalAssets,42339050.0,29878799.0,19403560.0,15674366.0,KSN.AX
commonStock,98584828.0,83808031.0,74817881.0,69244553.0,KSN.AX
otherCurrentAssets,61100.0,2519.0,4420.0,4361.0,KSN.AX
retainedEarnings,-58713189.0,-57123921.0,-56537006.0,-54427748.0,KSN.AX
treasuryStock,855471.0,760351.0,555734.0,223097.0,KSN.AX
otherAssets,44462.0,41979.0,42094.0,1841536.0,KSN.AX
cash,11007936.0,6511170.0,5197394.0,4379799.0,KSN.AX
totalCurrentLiabilities,1577130.0,2434337.0,509526.0,510285.0,KSN.AX
shortLongTermDebt,16384.0,,,,KSN.AX
otherStockholderEquity,855471.0,760351.0,555734.0,223097.0,KSN.AX
propertyPlantEquipment,30226403.0,22432424.0,14086792.0,9027462.0,KSN.AX
totalCurrentAssets,12068185.0,7404396.0,5274674.0,4805368.0,KSN.AX
netTangibleAssets,40727110.0,27444461.0,18836609.0,15039902.0,KSN.AX
netReceivables,764418.0,888764.0,70917.0,136965.0,KSN.AX
longTermDebt,34810.0,,,,KSN.AX
accountsPayable,1020692.0,438089.0,483205.0,195684.0,KSN.AX
otherLiab,,1.0,,,KSN.AX
