Breakdown,Value,ticker
zip,4110,LAU.AX
sector,Industrials,LAU.AX
fullTimeEmployees,1467,LAU.AX
longBusinessSummary,"Lindsay Australia Limited, together with its subsidiaries, provides integrated transport, logistics, and rural supply services to the food processing, food service, fresh produce, rural, agriculture, and horticultural industries in Australia. The company operates through Transport and Rural segments. The Transport segment is involved in the cartage of general and refrigerated products, and ancillary sales, as well as warehouse and distribution activities. The Rural segment engages in the sale and distribution of a range of agricultural supply products. Lindsay Australia Limited was incorporated in 1993 and is based in Acacia Ridge, Australia.",LAU.AX
city,Acacia Ridge,LAU.AX
phone,61 7 3240 4900,LAU.AX
state,QLD,LAU.AX
compensationAsOfEpochDate,1640908800,LAU.AX
country,Australia,LAU.AX
website,https://www.lindsayaustralia.com.au,LAU.AX
maxAge,86400,LAU.AX
address1,152 Postle Street,LAU.AX
fax,61 7 3054 0240,LAU.AX
industry,Trucking,LAU.AX
