Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,10947000.0,-8116000.0,6298000.0,10659000.0,LAW.AX
totalCashflowsFromInvestingActivities,1617000.0,-328000.0,4549000.0,-12179000.0,LAW.AX
netBorrowings,3053000.0,17123000.0,1790000.0,6131000.0,LAW.AX
totalCashFromFinancingActivities,10382000.0,16506000.0,3399000.0,4177000.0,LAW.AX
changeToOperatingActivities,3876000.0,3020000.0,1532000.0,-288000.0,LAW.AX
issuanceOfStock,9058000.0,3499000.0,5115000.0,1910000.0,LAW.AX
netIncome,-78474000.0,-22762000.0,-13527000.0,-5142000.0,LAW.AX
changeInCash,-426000.0,2081000.0,2207000.0,-4933000.0,LAW.AX
effectOfExchangeRate,-958000.0,-108000.0,245000.0,-336000.0,LAW.AX
totalCashFromOperatingActivities,-11467000.0,-13989000.0,-5986000.0,3405000.0,LAW.AX
depreciation,664000.0,588000.0,119000.0,70000.0,LAW.AX
otherCashflowsFromInvestingActivities,1633000.0,-167000.0,781000.0,-7216000.0,LAW.AX
changeToAccountReceivables,25938000.0,1777000.0,-10396000.0,-3655000.0,LAW.AX
otherCashflowsFromFinancingActivities,-1729000.0,-4116000.0,-3506000.0,-3864000.0,LAW.AX
changeToNetincome,24825000.0,10697000.0,9986000.0,1753000.0,LAW.AX
capitalExpenditures,-16000.0,-156000.0,-159000.0,-21000.0,LAW.AX
investments,,,,-26000.0,LAW.AX
