Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,756711,-290908,103583,4162733,LCK.AX
totalCashflowsFromInvestingActivities,-3138472,4144847,-20267525,-15505604,LCK.AX
netBorrowings,-628673,-3586530,159012,2220000,LCK.AX
totalCashFromFinancingActivities,23750140,6375531,10668973,19206253,LCK.AX
changeToOperatingActivities,187577,157499,-310803,240084,LCK.AX
issuanceOfStock,25791735,10386283,11290874,18414559,LCK.AX
netIncome,-13574173,-7154941,-9534857,-6018850,LCK.AX
changeInCash,15997974,4520443,-6555902,565861,LCK.AX
totalCashFromOperatingActivities,-4613694,-5999935,3042650,-3134788,LCK.AX
depreciation,179732,77677,59116,39951,LCK.AX
otherCashflowsFromInvestingActivities,518432,6904855,6904855,6904855,LCK.AX
changeToAccountReceivables,-293121,-1063488,9340645,-1905283,LCK.AX
otherCashflowsFromFinancingActivities,-1412922,-424222,-780913,-1428306,LCK.AX
changeToNetincome,8107000,1606094,1221931,346577,LCK.AX
capitalExpenditures,-3656904,-2760008,-20270980,-15505604,LCK.AX
