Breakdown,Value,ticker
zip,3205,LIC.AX
sector,Real Estate,LIC.AX
fullTimeEmployees,117,LIC.AX
compensationRisk,4,LIC.AX
auditRisk,3,LIC.AX
longBusinessSummary,"Lifestyle Communities Limited, together with its subsidiaries, builds, owns, and operates land lease communities that provides affordable housing options in Australia. The company operates 18 communities and approximately 5000 homes. It serves working, semi-retired, and retired people. The company was founded in 2003 and is based in South Melbourne, Australia.",LIC.AX
city,Melbourne,LIC.AX
phone,61 3 9682 2249,LIC.AX
state,VIC,LIC.AX
shareHolderRightsRisk,1,LIC.AX
compensationAsOfEpochDate,1640908800,LIC.AX
governanceEpochDate,1643673600,LIC.AX
boardRisk,1,LIC.AX
country,Australia,LIC.AX
website,https://www.lifestylecommunities.com.au,LIC.AX
maxAge,86400,LIC.AX
overallRisk,1,LIC.AX
address1,9-17 Raglan Street,LIC.AX
fax,61 3 9682 1236,LIC.AX
industry,Real Estate—Diversified,LIC.AX
address2,Level 1,LIC.AX
