Breakdown,Value,ticker
zip,6005,LIO.AX
sector,Energy,LIO.AX
longBusinessSummary,"Lion Energy Limited, together with its subsidiaries, engages in the exploration, development, production, and investment in oil and gas properties in Indonesia. It holds a 2.5% participating interest in the Seram (Non Bula) block production sharing contract (PSC) that covers an area of 1,353 square kilometers located on the Seram Island in eastern Indonesia; and 60% interest in the East Seram PSC covering an area of 6,505 square kilometers located in Indonesia. Lion Energy Limited was incorporated in 1970 and is based in Subiaco, Australia.",LIO.AX
city,Subiaco,LIO.AX
phone,61 8 9211 1500,LIO.AX
state,WA,LIO.AX
compensationAsOfEpochDate,1609372800,LIO.AX
country,Australia,LIO.AX
website,https://www.lionenergy.com.au,LIO.AX
maxAge,86400,LIO.AX
address1,295 Rokeby Road,LIO.AX
fax,61 8 9211 1501,LIO.AX
industry,Oil & Gas E&P,LIO.AX
address2,Suite 7,LIO.AX
