Breakdown,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,2017-06-30 00:00:00,ticker
investments,20573.0,-154828.0,-154828.0,-154828.0,LKO.AX
changeToLiabilities,981931.0,1320120.0,-726727.0,518383.0,LKO.AX
totalCashflowsFromInvestingActivities,-5932735.0,2674568.0,386695.0,386299.0,LKO.AX
netBorrowings,4980000.0,4980000.0,-1000000.0,1375055.0,LKO.AX
totalCashFromFinancingActivities,4980000.0,2240929.0,2782981.0,2186071.0,LKO.AX
changeToOperatingActivities,120241.0,-1492060.0,-3963.0,-101315.0,LKO.AX
netIncome,-619519.0,-3363530.0,-2040130.0,-7606299.0,LKO.AX
changeInCash,-1838106.0,1182347.0,693374.0,-168642.0,LKO.AX
totalCashFromOperatingActivities,-885371.0,-3733150.0,-2476302.0,-2741012.0,LKO.AX
depreciation,114961.0,229820.0,204745.0,4079608.0,LKO.AX
changeToAccountReceivables,62765.0,58904.0,-73863.0,-55224.0,LKO.AX
changeToNetincome,-1545750.0,-486404.0,163636.0,423835.0,LKO.AX
capitalExpenditures,-6328308.0,-6328308.0,-6328308.0,-6328308.0,LKO.AX
issuanceOfStock,,2269708.0,3895374.0,1505752.0,LKO.AX
otherCashflowsFromFinancingActivities,,-28779.0,-112393.0,-694736.0,LKO.AX
otherCashflowsFromInvestingActivities,,,,786299.0,LKO.AX
