Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-12000000,-3000000,-3000000,-3000000,LLO.AX
changeToLiabilities,-11849,23836,30825,5767,LLO.AX
totalCashflowsFromInvestingActivities,-20443020,-8147497,-8627652,-7138963,LLO.AX
netBorrowings,-180000,-180000,-180000,-180000,LLO.AX
totalCashFromFinancingActivities,55980876,11138599,204022,280000,LLO.AX
changeToOperatingActivities,11980,-88560,17098,-64396,LLO.AX
issuanceOfStock,58858123,12261710,204022,280000,LLO.AX
netIncome,-4231362,-2723822,-2221436,-2249517,LLO.AX
changeInCash,32956613,1349182,-10667109,-8710796,LLO.AX
effectOfExchangeRate,-565789,-48677,-124796,-15161,LLO.AX
totalCashFromOperatingActivities,-2015454,-1593243,-2118683,-1836672,LLO.AX
depreciation,155066,155066,155066,155066,LLO.AX
otherCashflowsFromInvestingActivities,108496,-65339,-1124410,-1124410,LLO.AX
changeToAccountReceivables,-216977,363176,-391749,55967,LLO.AX
otherCashflowsFromFinancingActivities,-2697247,-943111,-943111,-943111,LLO.AX
changeToNetincome,2277688,677061,446579,415507,LLO.AX
capitalExpenditures,-8551516,-5082158,-7503242,-7138963,LLO.AX
