Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,7287689.0,3714184.0,3987954.0,2958084.0,LNY.AX
totalStockholderEquity,13670869.0,13616370.0,11731044.0,9047851.0,LNY.AX
otherCurrentLiab,675209.0,746314.0,1186617.0,595828.0,LNY.AX
totalAssets,20958558.0,17330554.0,15718998.0,12005935.0,LNY.AX
commonStock,128804819.0,128544819.0,128322999.0,127798879.0,LNY.AX
otherCurrentAssets,54501.0,39381.0,24692.0,,LNY.AX
retainedEarnings,-115478075.0,-115272574.0,-116936080.0,-118836028.0,LNY.AX
otherLiab,205650.0,205650.0,205650.0,205650.0,LNY.AX
treasuryStock,344125.0,344125.0,344125.0,85000.0,LNY.AX
otherAssets,178632.0,178632.0,178632.0,37500.0,LNY.AX
cash,26928.0,593996.0,2648743.0,172147.0,LNY.AX
totalCurrentLiabilities,5193659.0,3508534.0,1948429.0,2200450.0,LNY.AX
shortLongTermDebt,1675000.0,1822430.0,,,LNY.AX
otherStockholderEquity,344125.0,344125.0,344125.0,85000.0,LNY.AX
propertyPlantEquipment,15898235.0,14629666.0,12164839.0,11772392.0,LNY.AX
totalCurrentAssets,1822118.0,2522256.0,3375527.0,196043.0,LNY.AX
longTermInvestments,3059573.0,,,,LNY.AX
netTangibleAssets,13670869.0,13616370.0,11731044.0,9047851.0,LNY.AX
netReceivables,49173.0,1885363.0,698576.0,19363.0,LNY.AX
longTermDebt,1888380.0,,1833875.0,551984.0,LNY.AX
inventory,1688000.0,,,,LNY.AX
accountsPayable,2669026.0,792441.0,643534.0,1479449.0,LNY.AX
