Breakdown,Value,ticker
zip,7000,LRK.AX
sector,Consumer Defensive,LRK.AX
longBusinessSummary,"Lark Distilling Co. Ltd produces single malt whisky. It also offers spirits and liqueurs, gin, slainte, brandy, rum, and sanitizers. The company was formerly known as Australian Whisky Holdings Limited and changed its name to Lark Distilling Co. Ltd in May 2020. Lark Distilling Co. Ltd was founded in 1839 and is headquartered in Hobart, Australia.",LRK.AX
city,Hobart,LRK.AX
phone,61 3 6231 9088,LRK.AX
state,TAS,LRK.AX
compensationAsOfEpochDate,1640908800,LRK.AX
country,Australia,LRK.AX
website,https://www.larkdistillery.com,LRK.AX
maxAge,86400,LRK.AX
address1,30 Argyle Street,LRK.AX
industry,Beverages—Wineries & Distilleries,LRK.AX
address2,Level 1,LRK.AX
