Breakdown,Value,ticker
zip,6151,M2R.AX
sector,Basic Materials,M2R.AX
longBusinessSummary,"Miramar Resources Limited explores for mineral properties. Miramar Resources Limited engages in the exploration and evaluation of mining tenements in Australia. The company primarily explores for gold, nickel, copper, and platinum group element deposits. It holds interests in three underexplored gold projects, including the Gidji JV, Glandore, and Randalls located within the Eastern Goldfields to the north of Kalgoorlie region; two projects covering under-explored greenstone belts, such as the Lang Well and Lakeside in Murchison region; and two projects comprising the Whaleshark and Bangemall in Gascoyne region in Western Australia. The company was incorporated in 2019 and is headquartered in South Perth, Australia.",M2R.AX
city,South Perth,M2R.AX
phone,61 8 9322 3383,M2R.AX
state,WA,M2R.AX
compensationAsOfEpochDate,1640908800,M2R.AX
country,Australia,M2R.AX
website,https://www.miramarresources.com.au,M2R.AX
maxAge,86400,M2R.AX
address1,22 Hardy Street,M2R.AX
fax,61 8 9322 3383,M2R.AX
industry,Other Industrial Metals & Mining,M2R.AX
address2,Unit 1,M2R.AX
