Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
intangibleAssets,11794000.0,13356000.0,13397000.0,15638000.0,MAF.AX
totalLiab,332486000.0,286816000.0,134384000.0,69267000.0,MAF.AX
totalStockholderEquity,236857000.0,227126000.0,241988000.0,215631000.0,MAF.AX
otherCurrentLiab,10934000.0,12914000.0,6472000.0,7939000.0,MAF.AX
totalAssets,569343000.0,513942000.0,375211000.0,284898000.0,MAF.AX
commonStock,154579000.0,156972000.0,189924000.0,191507000.0,MAF.AX
otherCurrentAssets,6635000.0,12158000.0,1950000.0,1211000.0,MAF.AX
retainedEarnings,57137000.0,45189000.0,35320000.0,15631000.0,MAF.AX
otherLiab,842000.0,9248000.0,10315000.0,6649000.0,MAF.AX
goodWill,9827000.0,9827000.0,9827000.0,9827000.0,MAF.AX
treasuryStock,25141000.0,24965000.0,16744000.0,8493000.0,MAF.AX
otherAssets,97733000.0,123917000.0,52526000.0,57087000.0,MAF.AX
cash,138004000.0,128800000.0,86652000.0,87786000.0,MAF.AX
totalCurrentLiabilities,91160000.0,124520000.0,41419000.0,30468000.0,MAF.AX
deferredLongTermAssetCharges,3905000.0,2223000.0,,,MAF.AX
otherStockholderEquity,25141000.0,24965000.0,16744000.0,8493000.0,MAF.AX
propertyPlantEquipment,6788000.0,9066000.0,1933000.0,1127000.0,MAF.AX
totalCurrentAssets,342133000.0,253939000.0,185753000.0,106031000.0,MAF.AX
longTermInvestments,101068000.0,103837000.0,111775000.0,95188000.0,MAF.AX
netTangibleAssets,215236000.0,203943000.0,218764000.0,190166000.0,MAF.AX
netReceivables,179065000.0,112981000.0,97151000.0,17034000.0,MAF.AX
longTermDebt,237540000.0,147522000.0,82650000.0,32150000.0,MAF.AX
accountsPayable,17801000.0,11505000.0,13336000.0,7229000.0,MAF.AX
shortLongTermDebt,,32150000.0,,,MAF.AX
minorityInterest,,,-1161000.0,,MAF.AX
