Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,MCT.AX
effectOfAccountingCharges,,,,,MCT.AX
incomeBeforeTax,-1587539,-1340757,-4410376,-2302570,MCT.AX
minorityInterest,-84179,217870,249936,249936,MCT.AX
netIncome,-2875403,-1274669,-4190963,-2302570,MCT.AX
sellingGeneralAdministrative,1472880,989937,1256640,1370105,MCT.AX
grossProfit,-106805,108821,-1611282,125021,MCT.AX
ebit,-1579480,-1014725,-3762128,-1858570,MCT.AX
operatingIncome,-1579480,-1014725,-3762128,-1858570,MCT.AX
otherOperatingExpenses,-31188,8751,257732,153193,MCT.AX
interestExpense,,,,-113.0,MCT.AX
extraordinaryItems,,,,,MCT.AX
nonRecurring,,,,,MCT.AX
otherItems,,,,,MCT.AX
incomeTaxExpense,0,0,0,0,MCT.AX
totalRevenue,12264,200000,327544,520752,MCT.AX
totalOperatingExpenses,1591744,1214725,4089672,2379322,MCT.AX
costOfRevenue,119069,91179,1938826,395731,MCT.AX
totalOtherIncomeExpenseNet,-8059,-326032,-648248,-444000,MCT.AX
discontinuedOperations,-1583356,-1583356,-1583356,-1583356,MCT.AX
netIncomeFromContinuingOps,-1587539,-1340757,-4410376,-2302570,MCT.AX
netIncomeApplicableToCommonShares,-2875403,-1274669,-4190963,-2302570,MCT.AX
