Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,5740453,6533232,5211725,2468409,MDC.AX
totalStockholderEquity,15144409,11397149,15049714,22878923,MDC.AX
minorityInterest,-238556,-141858,-57062,-1020360,MDC.AX
otherCurrentLiab,785650,553901,81425,182117,MDC.AX
totalAssets,20646306,17788523,20204377,24326972,MDC.AX
commonStock,66811113,51361909,41621320,39163420,MDC.AX
retainedEarnings,-52366660,-40042955,-26643581,-16353301,MDC.AX
otherLiab,232721,477665,228238,118618,MDC.AX
treasuryStock,699956,78195,71975,68804,MDC.AX
otherAssets,482536,482940,482845,74452,MDC.AX
cash,13434762,9063044,11441975,20332694,MDC.AX
totalCurrentLiabilities,4518556,4425777,4983487,2349791,MDC.AX
otherStockholderEquity,699956,78195,71975,68804,MDC.AX
propertyPlantEquipment,2084294,2880910,631703,437774,MDC.AX
totalCurrentAssets,18079476,14424673,19089829,23814746,MDC.AX
netTangibleAssets,15144409,11397149,15049714,22878923,MDC.AX
netReceivables,3355925,3379023,3813758,2055872,MDC.AX
inventory,859706,1619495,2217953,1164035,MDC.AX
accountsPayable,1476953,1823449,2549418,990929,MDC.AX
