Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,8291264.0,6546093.0,4655316.0,3333180.0,MEM.AX
totalLiab,5973849.0,1542881.0,764997.0,865593.0,MEM.AX
totalStockholderEquity,8606990.0,9755760.0,6071441.0,3351580.0,MEM.AX
otherCurrentLiab,196352.0,65389.0,83038.0,93612.0,MEM.AX
totalAssets,14580839.0,11298641.0,6836438.0,4217173.0,MEM.AX
commonStock,48884176.0,48697744.0,43424091.0,40095314.0,MEM.AX
otherCurrentAssets,48040.0,48040.0,48040.0,47922.0,MEM.AX
retainedEarnings,-41167423.0,-39680991.0,-38803922.0,-37759344.0,MEM.AX
otherLiab,28209.0,25044.0,29366.0,35465.0,MEM.AX
treasuryStock,890237.0,739007.0,1451272.0,1015610.0,MEM.AX
cash,2002915.0,1967800.0,873573.0,201807.0,MEM.AX
totalCurrentLiabilities,856841.0,586784.0,732656.0,823382.0,MEM.AX
shortLongTermDebt,181002.0,,,471736.0,MEM.AX
otherStockholderEquity,890237.0,739007.0,1451272.0,1015610.0,MEM.AX
propertyPlantEquipment,2600794.0,1194761.0,27514.0,22732.0,MEM.AX
totalCurrentAssets,3688781.0,3557787.0,2153608.0,861261.0,MEM.AX
netTangibleAssets,315726.0,3209667.0,1416125.0,18400.0,MEM.AX
netReceivables,1359513.0,1343092.0,1103264.0,592734.0,MEM.AX
longTermDebt,3164337.0,,,,MEM.AX
inventory,118794.0,32677.0,,,MEM.AX
accountsPayable,158583.0,218650.0,224918.0,130086.0,MEM.AX
