Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
totalLiab,41298948.0,41438951.0,16457870.0,12197303.0,MFD.AX
totalStockholderEquity,30103935.0,28558191.0,27150746.0,24160256.0,MFD.AX
otherCurrentLiab,4524924.0,2501666.0,2874350.0,4456614.0,MFD.AX
totalAssets,71402883.0,69997142.0,43608616.0,36357559.0,MFD.AX
commonStock,24100720.0,23839313.0,23000856.0,21989690.0,MFD.AX
retainedEarnings,6003215.0,4718878.0,4149890.0,2170566.0,MFD.AX
otherLiab,106206.0,79443.0,142114.0,88110.0,MFD.AX
goodWill,39638275.0,39740835.0,38855655.0,32943065.0,MFD.AX
otherAssets,923941.0,652022.0,396063.0,370296.0,MFD.AX
cash,1569464.0,648960.0,1776803.0,1539166.0,MFD.AX
totalCurrentLiabilities,9736314.0,7388399.0,3015756.0,4577175.0,MFD.AX
deferredLongTermAssetCharges,923941.0,652022.0,396063.0,364452.0,MFD.AX
shortLongTermDebt,1599000.0,1295208.0,,,MFD.AX
propertyPlantEquipment,27968398.0,27382892.0,1324485.0,451680.0,MFD.AX
totalCurrentAssets,2872269.0,2221393.0,3032413.0,2592518.0,MFD.AX
netTangibleAssets,-9534340.0,-11182644.0,-11704909.0,-8782809.0,MFD.AX
netReceivables,1034217.0,1019902.0,933544.0,764292.0,MFD.AX
longTermDebt,8297400.0,11492800.0,13300000.0,7448214.0,MFD.AX
accountsPayable,170764.0,231537.0,124188.0,105266.0,MFD.AX
otherCurrentAssets,,5153.0,,,MFD.AX
