Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,10222000.0,15300000.0,19805000.0,21529000.0,MFG.AX
totalLiab,226732000.0,77946000.0,66269000.0,54510000.0,MFG.AX
totalStockholderEquity,989434000.0,1045927000.0,734022000.0,620433000.0,MFG.AX
otherCurrentLiab,169123000.0,20490000.0,19685000.0,29702000.0,MFG.AX
totalAssets,1216166000.0,1123873000.0,800291000.0,674943000.0,MFG.AX
commonStock,607849000.0,525271000.0,243150000.0,218877000.0,MFG.AX
otherCurrentAssets,2467000.0,2402000.0,2009000.0,1972000.0,MFG.AX
retainedEarnings,381687000.0,517274000.0,488372000.0,345618000.0,MFG.AX
otherLiab,4473000.0,4360000.0,13319000.0,2949000.0,MFG.AX
goodWill,102840000.0,105252000.0,104703000.0,83489000.0,MFG.AX
treasuryStock,-102000.0,3382000.0,2500000.0,55938000.0,MFG.AX
otherAssets,67562000.0,15532000.0,7603000.0,10668000.0,MFG.AX
cash,211577000.0,437513000.0,198188000.0,169095000.0,MFG.AX
totalCurrentLiabilities,209934000.0,58709000.0,52950000.0,51561000.0,MFG.AX
deferredLongTermAssetCharges,41110000.0,,,1324000.0,MFG.AX
otherStockholderEquity,-102000.0,3382000.0,2500000.0,55938000.0,MFG.AX
propertyPlantEquipment,12116000.0,14251000.0,576000.0,624000.0,MFG.AX
totalCurrentAssets,333775000.0,577118000.0,328520000.0,284066000.0,MFG.AX
longTermInvestments,689651000.0,396420000.0,339084000.0,274567000.0,MFG.AX
netTangibleAssets,876372000.0,925375000.0,609514000.0,515415000.0,MFG.AX
netReceivables,118389000.0,136428000.0,127428000.0,111920000.0,MFG.AX
accountsPayable,10327000.0,10090000.0,13209000.0,4981000.0,MFG.AX
