Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-48000.0,-48000.0,-48000.0,-48000.0,MIL.AX
changeToLiabilities,-2077000.0,-12551000.0,2987000.0,5334000.0,MIL.AX
totalCashflowsFromInvestingActivities,-2161000.0,-2150000.0,-1311000.0,-5252000.0,MIL.AX
netBorrowings,-23527000.0,-875000.0,-6345000.0,-4732000.0,MIL.AX
totalCashFromFinancingActivities,-23427000.0,-875000.0,-6345000.0,-7212000.0,MIL.AX
changeToOperatingActivities,10304000.0,-6443000.0,4510000.0,6139000.0,MIL.AX
issuanceOfStock,100000.0,100000.0,100000.0,100000.0,MIL.AX
netIncome,17357000.0,16586000.0,-45550000.0,-747000.0,MIL.AX
changeInCash,14736000.0,-2909000.0,-8437000.0,-4116000.0,MIL.AX
effectOfExchangeRate,-2000.0,-6000.0,3000.0,-2000.0,MIL.AX
totalCashFromOperatingActivities,40326000.0,122000.0,-784000.0,8350000.0,MIL.AX
depreciation,5061000.0,5901000.0,8752000.0,7703000.0,MIL.AX
changeToInventory,107000.0,-428000.0,747000.0,-738000.0,MIL.AX
changeToAccountReceivables,4758000.0,-3221000.0,2262000.0,-7167000.0,MIL.AX
changeToNetincome,155000.0,-131000.0,26679000.0,78000.0,MIL.AX
capitalExpenditures,-2152000.0,-2185000.0,-1349000.0,-3806000.0,MIL.AX
dividendsPaid,,,,-2480000.0,MIL.AX
