Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,100672000.0,44121000.0,49903000.0,50647000.0,MIR.AX
totalStockholderEquity,517770000.0,349096000.0,345048000.0,361653000.0,MIR.AX
otherCurrentLiab,10687000.0,1835000.0,10545000.0,3154000.0,MIR.AX
totalAssets,618442000.0,393217000.0,394951000.0,412300000.0,MIR.AX
commonStock,250948000.0,209466000.0,206602000.0,200911000.0,MIR.AX
retainedEarnings,75282000.0,55598000.0,60114000.0,63515000.0,MIR.AX
otherLiab,89985000.0,42286000.0,39358000.0,47493000.0,MIR.AX
treasuryStock,191540000.0,84032000.0,78332000.0,97227000.0,MIR.AX
otherAssets,11006000.0,9920000.0,7900000.0,6523000.0,MIR.AX
cash,27826000.0,20207000.0,30453000.0,28140000.0,MIR.AX
totalCurrentLiabilities,10687000.0,1835000.0,10545000.0,3154000.0,MIR.AX
deferredLongTermAssetCharges,6000.0,20000.0,,123000.0,MIR.AX
otherStockholderEquity,191540000.0,84032000.0,78332000.0,97227000.0,MIR.AX
totalCurrentAssets,31838000.0,20827000.0,33896000.0,30488000.0,MIR.AX
longTermInvestments,575598000.0,362470000.0,353155000.0,375289000.0,MIR.AX
netTangibleAssets,517770000.0,349096000.0,345048000.0,361653000.0,MIR.AX
netReceivables,362000.0,620000.0,443000.0,1370000.0,MIR.AX
