Breakdown,Value,ticker
zip,5000,MKL.AX
sector,Communication Services,MKL.AX
fullTimeEmployees,126,MKL.AX
longBusinessSummary,"Mighty Kingdom Limited operates as a game developer in Australia. The company develops games for console, PC, and mobile platforms. Its games portfolio includes PETER RABBIT RUN!, AVA'S MANOR, GABBY'S DOLLHOUSE, CONAN CHOP CHOP, SNAP GAMES - SUGAR SLAM, WILD LIFE, LEGO FRIENDS - HEARTLAKE RUSH, SHOPKINS, and DANGER DAYS. The company was incorporated in 2010 and is based in Adelaide, Australia.",MKL.AX
city,Adelaide,MKL.AX
phone,61 8 7200 3252,MKL.AX
state,SA,MKL.AX
compensationAsOfEpochDate,1640908800,MKL.AX
country,Australia,MKL.AX
website,https://www.mightykingdom.com,MKL.AX
maxAge,86400,MKL.AX
address1,Game Plus,MKL.AX
industry,Electronic Gaming & Multimedia,MKL.AX
address2,Level 2 44 Pirie Street,MKL.AX
