Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,16306354,9938771,5131054,3456304,MLG.AX
totalCashflowsFromInvestingActivities,-12775559,-21193074,-6234501,-2478198,MLG.AX
netBorrowings,-52015244,-8338568,-18724551,-16660065,MLG.AX
totalCashFromFinancingActivities,-4727090,-8627450,-19106357,-17269177,MLG.AX
changeToOperatingActivities,245551,384363,404133,157106,MLG.AX
issuanceOfStock,50000000,50000000,50000000,50000000,MLG.AX
netIncome,12456905,5691790,16849887,5068261,MLG.AX
changeInCash,19390992,-3589951,-2959160,1185286,MLG.AX
totalCashFromOperatingActivities,36893641,26230573,22381698,20932661,MLG.AX
depreciation,18518733,13744751,9715140,6983712,MLG.AX
dividendsPaid,-120870,-288882,-381806,-609112,MLG.AX
changeToInventory,-4144081,-519389,-5663019,198747,MLG.AX
changeToAccountReceivables,-9038234,-5421253,-6419098,3184673,MLG.AX
otherCashflowsFromFinancingActivities,-2590976,-2590976,-2590976,-2590976,MLG.AX
changeToNetincome,2548413,2411540,2363601,1883858,MLG.AX
capitalExpenditures,-12928828,-21193074,-6234501,-2727653,MLG.AX
