Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,MML.AX
effectOfAccountingCharges,,,,,MML.AX
incomeBeforeTax,62435000,33047000,31403000,-57321000,MML.AX
minorityInterest,,,,,MML.AX
netIncome,47256000,29691000,36489000,-55554000,MML.AX
sellingGeneralAdministrative,7667000,9691000,9996000,15362000,MML.AX
grossProfit,73921000,56550000,53911000,40402000,MML.AX
ebit,62928000,32839000,31207000,-17982000,MML.AX
operatingIncome,62928000,32839000,31207000,-17982000,MML.AX
otherOperatingExpenses,1350900,12119613,10846292,490004,MML.AX
interestExpense,,,,,MML.AX
extraordinaryItems,,,,,MML.AX
nonRecurring,,,,,MML.AX
otherItems,,,,,MML.AX
incomeTaxExpense,15179000,3356000,-5086000,-1767000,MML.AX
totalRevenue,179037000,147828000,129320000,124593000,MML.AX
totalOperatingExpenses,116109000,114989000,98113000,142575000,MML.AX
costOfRevenue,105116000,91278000,75409000,84191000,MML.AX
totalOtherIncomeExpenseNet,-493000,208000,196000,-39339000,MML.AX
discontinuedOperations,,,,,MML.AX
netIncomeFromContinuingOps,47256000,29691000,36489000,-55554000,MML.AX
netIncomeApplicableToCommonShares,47256000,29691000,36489000,-55554000,MML.AX
