Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,5272000.0,4713000.0,5436000.0,642000.0,MNY.AX
totalLiab,292113000.0,191709000.0,153468000.0,107527000.0,MNY.AX
totalStockholderEquity,336519000.0,249852000.0,239854000.0,219179000.0,MNY.AX
otherCurrentLiab,15851000.0,7081000.0,4338000.0,308000.0,MNY.AX
totalAssets,628632000.0,441561000.0,393322000.0,326706000.0,MNY.AX
commonStock,229349000.0,169472000.0,163722000.0,153969000.0,MNY.AX
otherCurrentAssets,4154000.0,2815000.0,435000.0,348000.0,MNY.AX
retainedEarnings,104178000.0,76810000.0,71572000.0,61118000.0,MNY.AX
otherLiab,367000.0,3965000.0,4758000.0,459000.0,MNY.AX
goodWill,27202000.0,18136000.0,18136000.0,18080000.0,MNY.AX
treasuryStock,2992000.0,3570000.0,4560000.0,4092000.0,MNY.AX
otherAssets,347305000.0,221830000.0,193989000.0,126437000.0,MNY.AX
cash,55629000.0,44474000.0,36308000.0,46308000.0,MNY.AX
totalCurrentLiabilities,64753000.0,17789000.0,16140000.0,9243000.0,MNY.AX
deferredLongTermAssetCharges,11300000.0,11243000.0,6502000.0,9172000.0,MNY.AX
shortLongTermDebt,35047000.0,1336000.0,2505000.0,,MNY.AX
otherStockholderEquity,2992000.0,3570000.0,4560000.0,4092000.0,MNY.AX
propertyPlantEquipment,3551000.0,3758000.0,1853000.0,2062000.0,MNY.AX
totalCurrentAssets,245302000.0,193124000.0,173908000.0,179485000.0,MNY.AX
netTangibleAssets,304045000.0,227003000.0,216282000.0,200457000.0,MNY.AX
netReceivables,185519000.0,145835000.0,137165000.0,132829000.0,MNY.AX
longTermDebt,226083000.0,168422000.0,132570000.0,97825000.0,MNY.AX
accountsPayable,2682000.0,1723000.0,1482000.0,1085000.0,MNY.AX
