Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,MPX.AX
effectOfAccountingCharges,,,,,MPX.AX
incomeBeforeTax,-2460023,-1086204,-1702914,976622,MPX.AX
minorityInterest,179454,482904,508733,537680,MPX.AX
netIncome,-2414686,-1040107,-1552603,686453,MPX.AX
sellingGeneralAdministrative,1642377,971246,1024395,1165986,MPX.AX
grossProfit,284611,1247755,718620,2690346,MPX.AX
ebit,-1471611,273769,-308962,1521514,MPX.AX
operatingIncome,-1471611,273769,-308962,1521514,MPX.AX
otherOperatingExpenses,,,,,MPX.AX
interestExpense,-555031,-904502,-1120299,-707239,MPX.AX
extraordinaryItems,,,,,MPX.AX
nonRecurring,,,,,MPX.AX
otherItems,,,,,MPX.AX
incomeTaxExpense,30638,-20268,-121364,298659,MPX.AX
totalRevenue,5352010,2601741,2916196,11435329,MPX.AX
totalOperatingExpenses,6823621,2327972,3225158,9913815,MPX.AX
costOfRevenue,5067399,1353986,2197576,8744983,MPX.AX
totalOtherIncomeExpenseNet,-988412,-1359973,-1393952,-544892,MPX.AX
discontinuedOperations,,,,,MPX.AX
netIncomeFromContinuingOps,-2490661,-1065936,-1581550,677963,MPX.AX
netIncomeApplicableToCommonShares,-2414686,-1040107,-1552603,686453,MPX.AX
