Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,34156.0,37423.0,30232.0,-46032.0,MRQ.AX
totalCashflowsFromInvestingActivities,-1305074.0,-1276360.0,-606807.0,-774290.0,MRQ.AX
totalCashFromFinancingActivities,2896492.0,2277200.0,2277200.0,1925071.0,MRQ.AX
issuanceOfStock,2936096.0,2289700.0,2289700.0,2064199.0,MRQ.AX
netIncome,-665660.0,-1747244.0,-4089395.0,-894394.0,MRQ.AX
changeInCash,889485.0,297311.0,-1300633.0,1144606.0,MRQ.AX
totalCashFromOperatingActivities,-701933.0,-703529.0,-693826.0,-6175.0,MRQ.AX
changeToAccountReceivables,-106468.0,-93154.0,21337.0,692616.0,MRQ.AX
otherCashflowsFromFinancingActivities,-39604.0,-12500.0,-12500.0,-139128.0,MRQ.AX
changeToNetincome,36039.0,1098489.0,216480.0,36480.0,MRQ.AX
capitalExpenditures,-1305074.0,-1276360.0,-606807.0,-774290.0,MRQ.AX
depreciation,,957.0,3127520.0,205155.0,MRQ.AX
