Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,262837.0,-44877.0,-190365.0,274054.0,MRR.AX
totalCashflowsFromInvestingActivities,-379121.0,-2273.0,-1094.0,-757049.0,MRR.AX
netBorrowings,-32816.0,-25701.0,-25701.0,-25701.0,MRR.AX
totalCashFromFinancingActivities,2990251.0,913764.0,913764.0,2472566.0,MRR.AX
changeToOperatingActivities,-18985.0,1572.0,-14954.0,-338.0,MRR.AX
issuanceOfStock,3220000.0,1080927.0,1080927.0,2544901.0,MRR.AX
netIncome,-1055832.0,-948096.0,-898401.0,-1550702.0,MRR.AX
changeInCash,1946337.0,-53490.0,-983125.0,410426.0,MRR.AX
totalCashFromOperatingActivities,-664793.0,-964981.0,-982031.0,-1304027.0,MRR.AX
depreciation,50931.0,26420.0,2276.0,2849.0,MRR.AX
otherCashflowsFromFinancingActivities,-196933.0,-141462.0,-141462.0,-72335.0,MRR.AX
changeToNetincome,96256.0,96256.0,95000.0,95000.0,MRR.AX
capitalExpenditures,-379121.0,-2273.0,-1094.0,-757049.0,MRR.AX
changeToAccountReceivables,,,24413.0,-29890.0,MRR.AX
effectOfExchangeRate,,,,-1064.0,MRR.AX
