Breakdown,Value,ticker
zip,6101,MTB.AX
sector,Basic Materials,MTB.AX
longBusinessSummary,"Mount Burgess Mining N.L. engages in the exploration and development of mineral resource properties. The company primarily explores for zinc, lead, silver, germanium, and vanadium resources. It owns a 100% interest in the Kihabe-Nxuu project covering an area of approximately 1,000 square kilometers located in Western Ngamiland, Botswana. The company was incorporated in 1983 and is based in East Victoria Park, Australia.",MTB.AX
city,East Victoria Park,MTB.AX
phone,61 8 9355 0123,MTB.AX
state,WA,MTB.AX
compensationAsOfEpochDate,1640908800,MTB.AX
country,Australia,MTB.AX
website,https://www.mountburgess.com,MTB.AX
maxAge,86400,MTB.AX
address1,800 Albany Highway,MTB.AX
fax,61 8 9355 1484,MTB.AX
industry,Other Industrial Metals & Mining,MTB.AX
address2,Unit 8,MTB.AX
