Breakdown,Value,ticker
zip,5042,MX1.AX
sector,Healthcare,MX1.AX
longBusinessSummary,"Micro-X Limited designs, develops, and manufactures ultra-lightweight carbon nano tube based X-ray products for the healthcare and improvised explosive device imaging security markets in Australia. The company offers mobile digital radiology products, including Rover, an integrated and digital x-ray system for bedside imaging in hospitals and temporary medical facilities, as well as military and veterinary applications; and Carestream DRX Revolution Nano, a mobile x-ray imaging product for OEMs. It also develops X-Ray camera for security imaging of improvised explosive devices; airport checkpoint portal with self-service x-ray; and miniature brain CT imager for pre-hospital stroke diagnosis in ambulances. The company was incorporated in 2011 and is based in Tonsley, Australia.",MX1.AX
city,Tonsley,MX1.AX
phone,61 8 7099 3966,MX1.AX
state,SA,MX1.AX
compensationAsOfEpochDate,1640908800,MX1.AX
country,Australia,MX1.AX
website,https://www.micro-x.com,MX1.AX
maxAge,86400,MX1.AX
address1,"A14, 6 MAB Eastern Promenade",MX1.AX
industry,Medical Devices,MX1.AX
address2,1284 South Road,MX1.AX
