Breakdown,Value,ticker
zip,5111,MYG.AX
sector,Technology,MYG.AX
longBusinessSummary,"Mayfield Group Holdings Limited, together with its subsidiaries, provides electrical and telecommunications infrastructure products and services in Australia. The company manufactures switchboards, transportable switch rooms, and electrical protection panels. It also engages in the project management, construction, testing, commissioning, and maintenance of electrical infrastructure. In addition, the company provides electrical diagnostic, power quality, and cable fault location products and services; electrical test and measurement instruments; generator, UPS, and battery products for critical power systems; and replacement, repair, and maintenance services. Further, it manufactures protection systems and control panels for medium and high voltage systems, communication panels, and PLC and process control panels. Additionally, the company engages in the design, site building, equipment supply, and installation of monopoles, towers, antennas, and masts, as well as network commissioning, project management, and onsite maintenance support. Mayfield Group Holdings Limited was founded in 1936 and is based in Edinburgh, Australia.",MYG.AX
city,Edinburgh,MYG.AX
phone,61 8 8169 1070,MYG.AX
state,SA,MYG.AX
compensationAsOfEpochDate,1640908800,MYG.AX
country,Australia,MYG.AX
website,https://mayfieldgroup.com.au,MYG.AX
maxAge,86400,MYG.AX
address1,3 Gidgie Court,MYG.AX
industry,Communication Equipment,MYG.AX
