Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,3240744,402217,-71538,-167987,NAC.AX
netBorrowings,16936500,16936500,16936500,16936500,NAC.AX
totalCashFromFinancingActivities,11671394,-7065087,-3808058,-2761180,NAC.AX
issuanceOfStock,739115,2575,2575,2575,NAC.AX
netIncome,19365236,4113325,-1058206,3880720,NAC.AX
changeInCash,-36944,-4147886,329466,-1306198,NAC.AX
repurchaseOfStock,-3786208,-4734491,-699888,-275635,NAC.AX
totalCashFromOperatingActivities,-11708338,2917201,4137524,1454982,NAC.AX
dividendsPaid,-2218013,-2333171,-3108170,-2485545,NAC.AX
changeToAccountReceivables,8434,215082,-528244,1862620,NAC.AX
changeToNetincome,-34373305,-1813423,5795512,-4120371,NAC.AX
