Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,NAC.AX
effectOfAccountingCharges,,,,,NAC.AX
incomeBeforeTax,27449732,5016774,-2534253,4414891,NAC.AX
minorityInterest,,,,,NAC.AX
netIncome,19365236,4113325,-1058206,3880720,NAC.AX
sellingGeneralAdministrative,4769405,1121575,1151903,1457977,NAC.AX
grossProfit,33290733,6490429,-903164,6255651,NAC.AX
ebit,28188674,5168356,-2238293,4635561,NAC.AX
operatingIncome,28188674,5168356,-2238293,4635561,NAC.AX
otherOperatingExpenses,332654,200498,183226,162113,NAC.AX
interestExpense,-595959,-595959,-595959,-595959,NAC.AX
extraordinaryItems,,,,,NAC.AX
nonRecurring,,,,,NAC.AX
otherItems,,,,,NAC.AX
incomeTaxExpense,8084496,903449,-1476047,534171,NAC.AX
totalRevenue,33290733,6490429,-903164,6255651,NAC.AX
totalOperatingExpenses,5102059,1322073,1335129,1620090,NAC.AX
costOfRevenue,0,0,0,0,NAC.AX
totalOtherIncomeExpenseNet,-738942,-151582,-295960,-220670,NAC.AX
discontinuedOperations,,,,,NAC.AX
netIncomeFromContinuingOps,19365236,4113325,-1058206,3880720,NAC.AX
netIncomeApplicableToCommonShares,19365236,4113325,-1058206,3880720,NAC.AX
