Breakdown,Value,ticker
zip,2000,NAC.AX
sector,Financial Services,NAC.AX
longBusinessSummary,NAOS Ex-50 Opportunities Company Limited is a listed investment company launched and managed by NAOS Asset Management Limited. It seeks to invest in the public equity markets across the globe with a focus on Australia. It invests in the value stocks of small and mid-cap companies. NAOS Ex-50 Opportunities Company Limited is domiciled in Australia.,NAC.AX
city,Sydney,NAC.AX
phone,61 2 9947 2566,NAC.AX
state,NSW,NAC.AX
compensationAsOfEpochDate,1514678400,NAC.AX
country,Australia,NAC.AX
website,https://naos.com.au/naos-absolute-opportunities-company-limited/,NAC.AX
maxAge,86400,NAC.AX
address1,Level 4,NAC.AX
fax,61 2 8215 0037,NAC.AX
industry,Asset Management,NAC.AX
address2,Domain House 139 Macquarie Street,NAC.AX
