Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,7922427.0,5439584.0,4759032.0,4180535.0,NAG.AX
totalStockholderEquity,10463086.0,12700120.0,8755025.0,7572628.0,NAG.AX
otherCurrentLiab,218953.0,191764.0,145396.0,139393.0,NAG.AX
totalAssets,18385513.0,18139704.0,13514057.0,11753163.0,NAG.AX
commonStock,27284103.0,27284103.0,24123551.0,22091390.0,NAG.AX
otherCurrentAssets,90500.0,,,,NAG.AX
retainedEarnings,-19072011.0,-17926357.0,-17196866.0,-15733658.0,NAG.AX
otherLiab,23063.0,18927.0,10845.0,11777.0,NAG.AX
treasuryStock,2250994.0,3342374.0,1828340.0,1214896.0,NAG.AX
otherAssets,739559.0,2686268.0,635479.0,635000.0,NAG.AX
cash,1359055.0,224057.0,224988.0,352070.0,NAG.AX
totalCurrentLiabilities,703288.0,899565.0,1417698.0,493223.0,NAG.AX
otherStockholderEquity,2250994.0,3342374.0,1828340.0,1214896.0,NAG.AX
propertyPlantEquipment,14080395.0,13177090.0,12585113.0,10601391.0,NAG.AX
totalCurrentAssets,3565559.0,2276346.0,293465.0,516772.0,NAG.AX
netTangibleAssets,10463086.0,12700120.0,8755025.0,7572628.0,NAG.AX
shortTermInvestments,2039706.0,1977054.0,,,NAG.AX
netReceivables,76298.0,75235.0,68477.0,164702.0,NAG.AX
longTermDebt,7134000.0,4234000.0,3330489.0,3675535.0,NAG.AX
accountsPayable,182173.0,96149.0,196157.0,200990.0,NAG.AX
shortLongTermDebt,,,1060622.0,126622.0,NAG.AX
