Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,NCZ.AX
effectOfAccountingCharges,,,,,NCZ.AX
incomeBeforeTax,-10817168,-8107272,-21502018,-123310765,NCZ.AX
minorityInterest,,,,,NCZ.AX
netIncome,-10817168,-8107272,-21502018,-119021291,NCZ.AX
sellingGeneralAdministrative,45607470,7963304,6332675,6888351,NCZ.AX
grossProfit,107341029,0,108323,0,NCZ.AX
ebit,1453240,-12013211,-20964105,-115539708,NCZ.AX
operatingIncome,1453240,-12013211,-20964105,-115539708,NCZ.AX
otherOperatingExpenses,1392771,2603289,12576579,22706455,NCZ.AX
interestExpense,-19033486,-30176,-595504,-2622646,NCZ.AX
extraordinaryItems,,,,,NCZ.AX
nonRecurring,,,,,NCZ.AX
otherItems,,,,,NCZ.AX
incomeTaxExpense,0,0,0,0,NCZ.AX
totalRevenue,277981813,0,108323,0,NCZ.AX
totalOperatingExpenses,276528573,12013211,21072428,115539708,NCZ.AX
costOfRevenue,170640784,0,0,0,NCZ.AX
totalOtherIncomeExpenseNet,-12270408,3905939,-537913,-7771057,NCZ.AX
discontinuedOperations,,,,,NCZ.AX
netIncomeFromContinuingOps,-10817168,-8107272,-21502018,-123310765,NCZ.AX
netIncomeApplicableToCommonShares,-10817168,-8107272,-21502018,-119021291,NCZ.AX
