Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,3199000.0,4593000.0,325000.0,231000.0,NEA.AX
totalLiab,97025000.0,89904000.0,70537000.0,53493000.0,NEA.AX
totalStockholderEquity,142654000.0,56748000.0,87653000.0,28994000.0,NEA.AX
deferredLongTermLiab,45935000.0,42687000.0,41672000.0,35933000.0,NEA.AX
otherCurrentLiab,55875000.0,51072000.0,49587000.0,36959000.0,NEA.AX
totalAssets,239679000.0,146652000.0,158190000.0,82487000.0,NEA.AX
commonStock,224192000.0,126577000.0,124617000.0,52995000.0,NEA.AX
otherCurrentAssets,28000.0,314000.0,2663000.0,2506000.0,NEA.AX
retainedEarnings,-107644000.0,-88884000.0,-51807000.0,-36984000.0,NEA.AX
otherLiab,11937000.0,12328000.0,11472000.0,9893000.0,NEA.AX
goodWill,135000.0,135000.0,135000.0,135000.0,NEA.AX
treasuryStock,26106000.0,19055000.0,14843000.0,12983000.0,NEA.AX
otherAssets,52072000.0,47000000.0,44758000.0,38600000.0,NEA.AX
cash,123431000.0,36140000.0,75914000.0,17530000.0,NEA.AX
totalCurrentLiabilities,79943000.0,67680000.0,59065000.0,43600000.0,NEA.AX
deferredLongTermAssetCharges,5767000.0,4313000.0,3086000.0,2667000.0,NEA.AX
otherStockholderEquity,26106000.0,19055000.0,14843000.0,12983000.0,NEA.AX
propertyPlantEquipment,25095000.0,33408000.0,16782000.0,11983000.0,NEA.AX
totalCurrentAssets,159178000.0,61516000.0,96190000.0,31538000.0,NEA.AX
netTangibleAssets,139320000.0,52020000.0,87193000.0,28628000.0,NEA.AX
shortTermInvestments,2356000.0,,,,NEA.AX
netReceivables,27131000.0,21882000.0,17613000.0,11502000.0,NEA.AX
accountsPayable,7612000.0,5574000.0,3777000.0,1525000.0,NEA.AX
