Breakdown,Value,ticker
zip,3124,NEU.AX
sector,Healthcare,NEU.AX
longBusinessSummary,"Neuren Pharmaceuticals Limited, a biopharmaceutical company, develops drugs for the treatment of neurological disorders. Its lead product is trofinetide, which is in Phase III clinical trial for the treatment of Rett syndrome, as well as has completed Phase II clinical trial to treat Fragile X syndrome. The company also develops NNZ-2591, which has completed Phase I clinical trial for the treatment of Phelan-McDermid, Angelman, and Pitt Hopkins syndromes. In addition, it provides development services; and holds loan funded shares. Neuren Pharmaceuticals Limited was incorporated in 2001 and is based in Camberwell, Australia.",NEU.AX
city,Camberwell,NEU.AX
phone,61 3 9092 0480,NEU.AX
state,VIC,NEU.AX
compensationAsOfEpochDate,1577750400,NEU.AX
country,Australia,NEU.AX
website,https://www.neurenpharma.com,NEU.AX
maxAge,86400,NEU.AX
address1,697 Burke Road,NEU.AX
industry,Biotechnology,NEU.AX
address2,Suite 201,NEU.AX
