Breakdown,Value,ticker
zip,4066,NGI.AX
sector,Financial Services,NGI.AX
fullTimeEmployees,136,NGI.AX
compensationRisk,3,NGI.AX
auditRisk,9,NGI.AX
longBusinessSummary,"Navigator Global Investments Limited operates as a fund management company in Australia. The company, through its subsidiaries, offers open-ended products and structured products to retail, wholesale, and institutional investors. Navigator Global Investments Limited is based in Sydney, Australia.",NGI.AX
city,Toowong,NGI.AX
state,QLD,NGI.AX
shareHolderRightsRisk,1,NGI.AX
compensationAsOfEpochDate,1640908800,NGI.AX
governanceEpochDate,1632614400,NGI.AX
boardRisk,8,NGI.AX
country,Australia,NGI.AX
website,https://www.navigatorglobal.com.au,NGI.AX
maxAge,86400,NGI.AX
overallRisk,6,NGI.AX
address1,Toowong Tower,NGI.AX
industry,Asset Management,NGI.AX
address2,Level 3 9 Sherwood Road,NGI.AX
