Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,232600000.0,225600000.0,235900000.0,218500000.0,NHF.AX
totalLiab,996600000.0,1074700000.0,921900000.0,889700000.0,NHF.AX
totalStockholderEquity,706200000.0,603100000.0,632200000.0,557800000.0,NHF.AX
otherCurrentLiab,269800000.0,299300000.0,341700000.0,313200000.0,NHF.AX
totalAssets,1702800000.0,1677800000.0,1554100000.0,1447500000.0,NHF.AX
commonStock,132100000.0,127400000.0,120300000.0,116100000.0,NHF.AX
otherCurrentAssets,3300000.0,6200000.0,5700000.0,6200000.0,NHF.AX
retainedEarnings,567700000.0,470500000.0,498400000.0,445500000.0,NHF.AX
otherLiab,68800000.0,65800000.0,109100000.0,92500000.0,NHF.AX
goodWill,218700000.0,226500000.0,227400000.0,209100000.0,NHF.AX
treasuryStock,6400000.0,5200000.0,13500000.0,-3800000.0,NHF.AX
otherAssets,10600000.0,12400000.0,1800000.0,1700000.0,NHF.AX
cash,213900000.0,198000000.0,164700000.0,192200000.0,NHF.AX
totalCurrentLiabilities,646400000.0,701700000.0,580300000.0,567700000.0,NHF.AX
otherStockholderEquity,11300000.0,11200000.0,18600000.0,,NHF.AX
propertyPlantEquipment,34400000.0,73500000.0,13200000.0,10400000.0,NHF.AX
totalCurrentAssets,1188700000.0,1121800000.0,1062600000.0,1002700000.0,NHF.AX
longTermInvestments,17800000.0,18000000.0,13200000.0,5100000.0,NHF.AX
netTangibleAssets,381200000.0,268400000.0,284100000.0,240900000.0,NHF.AX
shortTermInvestments,7700000.0,8800000.0,73900000.0,,NHF.AX
netReceivables,84000000.0,70800000.0,67500000.0,65400000.0,NHF.AX
longTermDebt,230700000.0,230900000.0,232500000.0,229500000.0,NHF.AX
accountsPayable,301800000.0,328500000.0,170900000.0,182100000.0,NHF.AX
deferredLongTermAssetCharges,,12400000.0,,,NHF.AX
