Breakdown,Value,ticker
zip,6005,NMT.AX
sector,Basic Materials,NMT.AX
longBusinessSummary,"Neometals Ltd explores and evaluates mineral projects in Australia. The company operates through three segments: Lithium, Titanium/Vanadium, and Other. Its projects include the Lithium-ion Battery Recycling project, which recovers cobalt and other materials from spent and scrap lithium batteries; Vanadium Recovery project, which recovers vanadium pentoxide from processing by-products; Lithium Refinery project; and Barrambie Titanium and Vanadium project located in Western Australia. The company was formerly known as Reed Resources Ltd. and changed its name to Neometals Ltd in December 2014. Neometals Ltd was incorporated in 2001 and is based in West Perth, Australia.",NMT.AX
city,West Perth,NMT.AX
phone,61 8 9322 1182,NMT.AX
state,WA,NMT.AX
compensationAsOfEpochDate,1640908800,NMT.AX
country,Australia,NMT.AX
website,https://www.neometals.com.au,NMT.AX
maxAge,86400,NMT.AX
address1,1292 Hay Street,NMT.AX
fax,61 8 9321 0556,NMT.AX
industry,Other Industrial Metals & Mining,NMT.AX
address2,Level 1,NMT.AX
