Breakdown,Value,ticker
zip,4000,NSR.AX
sector,Real Estate,NSR.AX
compensationRisk,9,NSR.AX
auditRisk,6,NSR.AX
longBusinessSummary,"National Storage is the largest self-storage provider in Australia and New Zealand, with 194 centres providing tailored storage solutions to over 70,000 residential and commercial customers. NSR is the first independent, internally managed and fully integrated owner and operator of self-storage centres to be listed on the Australian Securities Exchange (ASX).",NSR.AX
city,Brisbane,NSR.AX
phone,1800 683 290,NSR.AX
state,QLD,NSR.AX
shareHolderRightsRisk,1,NSR.AX
compensationAsOfEpochDate,1640908800,NSR.AX
governanceEpochDate,1643673600,NSR.AX
boardRisk,5,NSR.AX
country,Australia,NSR.AX
website,https://www.nationalstorage.com.au,NSR.AX
maxAge,86400,NSR.AX
overallRisk,5,NSR.AX
address1,Waterfront Place,NSR.AX
industry,REIT—Industrial,NSR.AX
address2,Level 16 1 Eagle Street,NSR.AX
