Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,30400000.0,-2600000.0,-10056000.0,-30613000.0,NST.AX
changeToLiabilities,746600000.0,4900000.0,-14014000.0,5926000.0,NST.AX
totalCashflowsFromInvestingActivities,-257100000.0,-1670300000.0,-648136000.0,-247294000.0,NST.AX
netBorrowings,-405900000.0,630400000.0,-17458000.0,-7123000.0,NST.AX
totalCashFromFinancingActivities,-718600000.0,1384800000.0,89597000.0,-65830000.0,NST.AX
changeToOperatingActivities,-40300000.0,41800000.0,1342000.0,12453000.0,NST.AX
netIncome,1032500000.0,258300000.0,154711000.0,194113000.0,NST.AX
changeInCash,94600000.0,411200000.0,-176818000.0,39937000.0,NST.AX
effectOfExchangeRate,-3300000.0,-13800000.0,2524000.0,2524000.0,NST.AX
totalCashFromOperatingActivities,1076800000.0,710500000.0,379197000.0,353061000.0,NST.AX
depreciation,765500000.0,387800000.0,263037000.0,171834000.0,NST.AX
otherCashflowsFromInvestingActivities,6500000.0,6500000.0,6500000.0,533000.0,NST.AX
dividendsPaid,-236400000.0,-48700000.0,-70340000.0,-63333000.0,NST.AX
changeToInventory,126800000.0,23100000.0,11463000.0,-12378000.0,NST.AX
changeToAccountReceivables,37400000.0,-24100000.0,-32679000.0,-5557000.0,NST.AX
otherCashflowsFromFinancingActivities,-2200000.0,-2200000.0,-2200000.0,-2200000.0,NST.AX
changeToNetincome,-1501500000.0,16200000.0,16581000.0,11951000.0,NST.AX
capitalExpenditures,-693100000.0,-362700000.0,-286842000.0,-196167000.0,NST.AX
issuanceOfStock,,803100000.0,177395000.0,4626000.0,NST.AX
