Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-247507.0,21160.0,-446688.0,207554.0,NSX.AX
totalCashflowsFromInvestingActivities,-433787.0,-3431745.0,-194666.0,60247.0,NSX.AX
netBorrowings,-1050711.0,-926917.0,-926917.0,-926917.0,NSX.AX
totalCashFromFinancingActivities,1293042.0,7678933.0,4894991.0,4894991.0,NSX.AX
changeToOperatingActivities,39854.0,203845.0,-337624.0,213462.0,NSX.AX
issuanceOfStock,2500001.0,9231810.0,5332313.0,5332313.0,NSX.AX
netIncome,-3000738.0,-4465241.0,-3475732.0,-3765703.0,NSX.AX
changeInCash,-1176111.0,1127878.0,1048096.0,-2492957.0,NSX.AX
totalCashFromOperatingActivities,-2035366.0,-3119310.0,-3652229.0,-2553204.0,NSX.AX
depreciation,628220.0,553265.0,141293.0,221098.0,NSX.AX
changeToAccountReceivables,29026.0,-63313.0,57532.0,214668.0,NSX.AX
otherCashflowsFromFinancingActivities,-156248.0,-625960.0,-437322.0,-437322.0,NSX.AX
changeToNetincome,515779.0,630974.0,408990.0,355717.0,NSX.AX
investments,,-3200000.0,-3200000.0,115620.0,NSX.AX
capitalExpenditures,,-26441.0,-26441.0,-55373.0,NSX.AX
otherCashflowsFromInvestingActivities,,,-194666.0,-194666.0,NSX.AX
