Breakdown,Value,ticker
zip,4007,NTD.AX
sector,Consumer Cyclical,NTD.AX
longBusinessSummary,"National Tyre & Wheel Limited engages in the distribution and marketing of motor vehicle tires, wheels, tubes, and related products in Australia, New Zealand, and South Africa. The company products include truck and bus tires, agricultural and off-the-road tires, industrial tires, and original equipment tires and wheel packages. National Tyre & Wheel Limited was founded in 1989 and is headquartered in Hamilton, Australia.",NTD.AX
city,Hamilton,NTD.AX
phone,61 7 3212 0950,NTD.AX
state,QLD,NTD.AX
compensationAsOfEpochDate,1640908800,NTD.AX
country,Australia,NTD.AX
website,https://www.ntaw.com.au,NTD.AX
maxAge,86400,NTD.AX
address1,385 MacArthur Avenue,NTD.AX
fax,61 7 3212 0951,NTD.AX
industry,Auto Parts,NTD.AX
address2,Level 2,NTD.AX
