Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,207225.0,207225.0,207225.0,207225.0,NVA.AX
changeToLiabilities,0.0,-939773.0,108086.0,121955.0,NVA.AX
totalCashflowsFromInvestingActivities,-21055527.0,-5415678.0,-2492798.0,-1758802.0,NVA.AX
totalCashFromFinancingActivities,34883982.0,10852785.0,2268402.0,4632410.0,NVA.AX
issuanceOfStock,36557130.0,9137883.0,2478570.0,4824773.0,NVA.AX
netIncome,-3127870.0,-4195388.0,-2619555.0,-1370786.0,NVA.AX
changeInCash,11318892.0,3166486.0,-1833633.0,1752602.0,NVA.AX
repurchaseOfStock,-997018.0,-997018.0,-132090.0,-132090.0,NVA.AX
effectOfExchangeRate,-371227.0,-57600.0,49495.0,49495.0,NVA.AX
totalCashFromOperatingActivities,-2138336.0,-2213021.0,-1658732.0,-1121006.0,NVA.AX
depreciation,303960.0,617235.0,65113.0,65113.0,NVA.AX
changeToAccountReceivables,-15502.0,116318.0,-19012.0,-3580.0,NVA.AX
otherCashflowsFromFinancingActivities,-676130.0,1714902.0,-78078.0,-192363.0,NVA.AX
changeToNetincome,701076.0,1797113.0,791414.0,131405.0,NVA.AX
capitalExpenditures,-21043700.0,-5002353.0,-2536448.0,-1631572.0,NVA.AX
changeToOperatingActivities,,391474.0,15222.0,15222.0,NVA.AX
otherCashflowsFromInvestingActivities,,-413325.0,-413325.0,-55000.0,NVA.AX
