Breakdown,Value,ticker
zip,6104,NWH.AX
sector,Industrials,NWH.AX
fullTimeEmployees,7000,NWH.AX
compensationRisk,9,NWH.AX
auditRisk,7,NWH.AX
longBusinessSummary,"NRW Holdings Limited, through its subsidiaries, provides diversified contract services to the resources and infrastructure sectors in Australia. It operates through three segments: Civil; Mining; and Minerals, Energy & Technologies. The Civil segment delivers private and public civil infrastructure, mine development, bulk earthworks, and commercial and residential subdivision projects. Its civil construction projects include roads, bridges, tailings storage facilities, rail formations, ports, renewable energy projects, water infrastructure, and concrete installations. The Mining segment engages in the mine management, contract mining, load and haul, dragline, drill and blast, and coal handling preparation plant operations; maintenance activities; and fabrication of water and service vehicles. The Minerals, Energy & Technologies segment provides materials handling, onsite maintenance, and shutdown services; industrial engineering and fabrication services; and engineering, procurement, construction, and operational services. The company also provides heat treatment services, as well as mining equipment solutions. NRW Holdings Limited was founded in 1994 and is headquartered in Belmont, Australia.",NWH.AX
city,Belmont,NWH.AX
phone,61 8 9232 4200,NWH.AX
state,WA,NWH.AX
shareHolderRightsRisk,7,NWH.AX
compensationAsOfEpochDate,1640908800,NWH.AX
governanceEpochDate,1632614400,NWH.AX
boardRisk,9,NWH.AX
country,Australia,NWH.AX
website,https://www.nrw.com.au,NWH.AX
maxAge,86400,NWH.AX
overallRisk,10,NWH.AX
address1,181 Great Eastern Highway,NWH.AX
fax,61 8 9232 4234,NWH.AX
industry,Engineering & Construction,NWH.AX
