Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-07-31 00:00:00,ticker
researchDevelopment,,,,,NWM.AX
effectOfAccountingCharges,,,,,NWM.AX
incomeBeforeTax,-1693896,-1247912,-2143238,-268740,NWM.AX
minorityInterest,,,,,NWM.AX
netIncome,-1693896,-1247912,-2143238,-268740,NWM.AX
sellingGeneralAdministrative,676479,650926,831755,268740,NWM.AX
grossProfit,86762,25104,0,0,NWM.AX
ebit,-1699198,-1273745,-1321457,-268740,NWM.AX
operatingIncome,-1699198,-1273745,-1321457,-268740,NWM.AX
otherOperatingExpenses,,,,,NWM.AX
interestExpense,,-2243.0,-876000.0,-876000.0,NWM.AX
extraordinaryItems,,,,,NWM.AX
nonRecurring,,,,,NWM.AX
otherItems,,,,,NWM.AX
incomeTaxExpense,0,0,0,0,NWM.AX
totalRevenue,86762,25104,0,0,NWM.AX
totalOperatingExpenses,1785960,1298849,1321457,268740,NWM.AX
costOfRevenue,0,0,0,0,NWM.AX
totalOtherIncomeExpenseNet,5302,25833,-821781,0,NWM.AX
discontinuedOperations,,,,,NWM.AX
netIncomeFromContinuingOps,-1693896,-1247912,-2143238,-268740,NWM.AX
netIncomeApplicableToCommonShares,-1693896,-1247912,-2143238,-268740,NWM.AX
