Breakdown,Value,ticker
zip,10036,NWSLV.AX
sector,Communication Services,NWSLV.AX
fullTimeEmployees,24000,NWSLV.AX
compensationRisk,4,NWSLV.AX
auditRisk,6,NWSLV.AX
longBusinessSummary,"News Corporation, a media and information services company, focuses on creating and distributing content for consumers and businesses worldwide. It operates in six segments: Digital Real Estate Services, Subscription Video Services, Dow Jones, Book Publishing, News Media, and Other. The company distributes content and data products, including The Wall Street Journal, Factiva, Dow Jones Risk & Compliance, Dow Jones Newswires, Barron's, MarketWatch, and Investor's Business Daily through various media channels, such as newspapers, newswires, websites, applications for mobile devices, tablets and e-book readers, newsletters, magazines, proprietary databases, live journalism, videos, and podcasts. It also owns and operates daily, Sunday, weekly, and bi-weekly newspapers comprising The Australian, The Weekend Australian, The Daily Telegraph, The Sunday Telegraph, Herald Sun, Sunday Herald Sun, The Courier Mail, The Sunday Mail, The Advertiser, Sunday Mail, The Sun, The Sun on Sunday, The Times, The Sunday Times, and New York Post, as well as digital mastheads and other websites. In addition, the company publishes general fiction, nonfiction, children's, and religious books; provides video sports, entertainment, and news services to pay-TV subscribers and other commercial licensees primarily through cable, satellite, and internet distribution; and broadcasts rights to live sporting events. Further, it offers property and property-related advertising and services on its websites and mobile applications; online real estate services; and professional software and service products, as well as financial services. The company is headquartered in New York, New York.",NWSLV.AX
city,New York,NWSLV.AX
phone,212 416 3400,NWSLV.AX
state,NY,NWSLV.AX
shareHolderRightsRisk,10,NWSLV.AX
compensationAsOfEpochDate,1640908800,NWSLV.AX
governanceEpochDate,1643673600,NWSLV.AX
boardRisk,8,NWSLV.AX
country,United States,NWSLV.AX
website,https://newscorp.com,NWSLV.AX
maxAge,86400,NWSLV.AX
overallRisk,9,NWSLV.AX
address1,1211 Avenue of the Americas,NWSLV.AX
industry,Broadcasting,NWSLV.AX
