Breakdown,Value,ticker
zip,2072,NYR.AX
sector,Healthcare,NYR.AX
longBusinessSummary,"Nyrada Inc., a pre-clinical stage drug development company, engages in the development of small molecule drugs for cardiovascular, neurodegenerative, and chronic inflammatory diseases. Its products in the drug development stage include PCSK9 inhibitor for the treatment of high blood LDL-cholesterol levels in patients poorly responsive to or unable to take statin drugs; NYR-BI01, a neuroprotectant drug, to reduce the disability in patients with ischaemic stroke and traumatic brain injury; a drug to treat pain associated with peripheral nerve damage; and a drug to treat autoimmune diseases, such as psoriasis. The company has collaboration with Walter Reed Army Institute of Research and University of New South Wales, Sydney for advancement of preclinical neuroprotection compound for traumatic brain injury. Nyrada Inc. was incorporated in 2017 and is based in Gordon, Australia.",NYR.AX
city,Gordon,NYR.AX
phone,61 2 9053 1990,NYR.AX
state,NSW,NYR.AX
compensationAsOfEpochDate,1640908800,NYR.AX
country,Australia,NYR.AX
website,https://www.nyrada.com,NYR.AX
maxAge,86400,NYR.AX
address1,828 Pacific Highway,NYR.AX
fax,61 2 9053 1999,NYR.AX
industry,Biotechnology,NYR.AX
address2,Suite 2 Level 3,NYR.AX
