Breakdown,2021-01-31 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,9126000.0,8655000.0,7521000.0,5114000.0,NZK.AX
totalLiab,95473000.0,86567000.0,53308000.0,49673000.0,NZK.AX
totalStockholderEquity,192543000.0,184314000.0,168752000.0,166301000.0,NZK.AX
otherCurrentLiab,8544000.0,7863000.0,7963000.0,8019000.0,NZK.AX
totalAssets,288016000.0,270881000.0,222060000.0,215974000.0,NZK.AX
commonStock,122606000.0,122606000.0,122595000.0,122579000.0,NZK.AX
otherCurrentAssets,75001000.0,82691000.0,68546000.0,72623000.0,NZK.AX
retainedEarnings,51651000.0,58730000.0,47612000.0,43394000.0,NZK.AX
otherLiab,17823000.0,18216000.0,15537000.0,15523000.0,NZK.AX
goodWill,39255000.0,39255000.0,39255000.0,39255000.0,NZK.AX
treasuryStock,18286000.0,2978000.0,-1455000.0,328000.0,NZK.AX
otherAssets,34954000.0,19714000.0,14332000.0,11824000.0,NZK.AX
cash,3479000.0,7115000.0,6231000.0,14428000.0,NZK.AX
totalCurrentLiabilities,33011000.0,28093000.0,22189000.0,23906000.0,NZK.AX
shortLongTermDebt,2241000.0,1846000.0,938000.0,826000.0,NZK.AX
otherStockholderEquity,18286000.0,2978000.0,-1455000.0,328000.0,NZK.AX
propertyPlantEquipment,67526000.0,65062000.0,51843000.0,43722000.0,NZK.AX
totalCurrentAssets,137155000.0,138195000.0,109109000.0,116059000.0,NZK.AX
netTangibleAssets,144162000.0,136404000.0,121976000.0,121932000.0,NZK.AX
netReceivables,13490000.0,11173000.0,12307000.0,11323000.0,NZK.AX
longTermDebt,39250000.0,37000000.0,15582000.0,10244000.0,NZK.AX
inventory,42489000.0,35612000.0,20830000.0,16582000.0,NZK.AX
accountsPayable,15515000.0,13118000.0,10443000.0,11216000.0,NZK.AX
deferredLongTermAssetCharges,,,2443000.0,2052000.0,NZK.AX
