Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,6160863.0,8106750.0,5999261.0,5408575.0,OEX.AX
totalStockholderEquity,8982903.0,3719824.0,6739041.0,4008210.0,OEX.AX
otherCurrentLiab,782331.0,1617140.0,855554.0,811798.0,OEX.AX
totalAssets,15143766.0,11826574.0,12738302.0,9416785.0,OEX.AX
commonStock,185355925.0,179254814.0,176502200.0,174046036.0,OEX.AX
retainedEarnings,-183469774.0,-182980810.0,-177264547.0,-177665927.0,OEX.AX
otherLiab,3855483.0,4505601.0,3733837.0,3542877.0,OEX.AX
treasuryStock,7096752.0,7445820.0,7501388.0,7628101.0,OEX.AX
cash,4310767.0,173816.0,357970.0,375507.0,OEX.AX
totalCurrentLiabilities,2305380.0,3601149.0,2265424.0,1865698.0,OEX.AX
otherStockholderEquity,7096752.0,7445820.0,7501388.0,7628101.0,OEX.AX
propertyPlantEquipment,9339173.0,10509327.0,10584585.0,6883978.0,OEX.AX
totalCurrentAssets,5804593.0,1317247.0,2153717.0,2532807.0,OEX.AX
netTangibleAssets,8982903.0,3719824.0,6739041.0,4008210.0,OEX.AX
netReceivables,931721.0,645344.0,497974.0,738784.0,OEX.AX
inventory,102917.0,146084.0,1141309.0,1303245.0,OEX.AX
accountsPayable,629369.0,507204.0,302338.0,297640.0,OEX.AX
otherCurrentAssets,,327791.0,,,OEX.AX
