Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,573526.0,-668460.0,-711320.0,-711320.0,OKR.AX
changeToLiabilities,27733.0,2337.0,-36770.0,70521.0,OKR.AX
totalCashflowsFromInvestingActivities,453526.0,-1398143.0,-741320.0,-142449.0,OKR.AX
totalCashFromFinancingActivities,2948606.0,2948606.0,2948606.0,6092525.0,OKR.AX
issuanceOfStock,2948606.0,2948606.0,2948606.0,6500000.0,OKR.AX
netIncome,-732257.0,-2851226.0,-1071307.0,-1147328.0,OKR.AX
changeInCash,2335227.0,-2331354.0,-1716199.0,4907896.0,OKR.AX
totalCashFromOperatingActivities,-1066905.0,-933211.0,-974879.0,-1042180.0,OKR.AX
changeToAccountReceivables,8502.0,3242.0,25847.0,-64840.0,OKR.AX
changeToNetincome,-370883.0,671267.0,96771.0,93274.0,OKR.AX
capitalExpenditures,-120000.0,-729683.0,-30000.0,-142449.0,OKR.AX
depreciation,,1241169.0,10580.0,6193.0,OKR.AX
otherCashflowsFromFinancingActivities,,,,-407475.0,OKR.AX
