Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,751704,-79337,9958,-246098,ORR.AX
totalCashflowsFromInvestingActivities,-216008,-5226278,-106123,-50445,ORR.AX
netBorrowings,-88549,-91547,-91547,-91547,ORR.AX
totalCashFromFinancingActivities,49781249,25145088,25145088,25145088,ORR.AX
issuanceOfStock,52559000,26775000,26775000,26775000,ORR.AX
netIncome,-9235308,-5040533,-6473933,-6728584,ORR.AX
changeInCash,41501847,14805638,-4567964,-7252807,ORR.AX
effectOfExchangeRate,-1073560,90143,479341,896896,ORR.AX
totalCashFromOperatingActivities,-6989834,-5203315,-4941182,-8099258,ORR.AX
depreciation,175676,174264,119516,131512,ORR.AX
changeToAccountReceivables,-412334,-32725,-114957,-96558,ORR.AX
otherCashflowsFromFinancingActivities,-2689202,-1538365,-1538365,-1538365,ORR.AX
changeToNetincome,1730428,-224984,1518234,-1159530,ORR.AX
capitalExpenditures,-216008,-5226278,-106123,-50445,ORR.AX
