Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,554144,605351,1039136,463875,PAA.AX
effectOfAccountingCharges,,,,,PAA.AX
incomeBeforeTax,-1337310,-1361990,-1551222,-2521679,PAA.AX
minorityInterest,,,,,PAA.AX
netIncome,-1337310,-1361990,-1551222,-2521679,PAA.AX
sellingGeneralAdministrative,3852244,4240761,4322756,4917433,PAA.AX
grossProfit,3431609,3873964,4013124,2969683,PAA.AX
ebit,-1273042,-1246785,-1521198,-2530230,PAA.AX
operatingIncome,-1273042,-1246785,-1521198,-2530230,PAA.AX
otherOperatingExpenses,,,,,PAA.AX
interestExpense,-78986,-118495,-47822,-28352,PAA.AX
extraordinaryItems,,,,,PAA.AX
nonRecurring,,,,,PAA.AX
otherItems,,,,,PAA.AX
incomeTaxExpense,0,0,0,0,PAA.AX
totalRevenue,3656927,4120121,4346756,3259001,PAA.AX
totalOperatingExpenses,4929969,5366906,5867954,5789231,PAA.AX
costOfRevenue,225318,246157,333632,289318,PAA.AX
totalOtherIncomeExpenseNet,-64268,-115205,-30024,8551,PAA.AX
discontinuedOperations,,,,,PAA.AX
netIncomeFromContinuingOps,-1337310,-1361990,-1551222,-2521679,PAA.AX
netIncomeApplicableToCommonShares,-1337310,-1361990,-1551222,-2521679,PAA.AX
